datum;faktura_nr;faktura_typ;leverantor_id;leverantor;belopp;valuta;kopare_id;kopare
2024-07-01;501;NORMAL;559233-2703;Wise Management AB;36750;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;3528;NORMAL;556688-7419;Kirei AB;201960;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;3529;NORMAL;556688-7419;Kirei AB;78690;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;17372;NORMAL;556815-1889;Nordic Peak AB;30000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;16397;NORMAL;556590-6897;Pro4u AB;112032;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1406/2406;NORMAL;202100-5448;Skatteverket;4701436;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;22473;NORMAL;556956-0351;Talentwise AB;4676;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;2807;NORMAL;559071-0538;Kvadrat Sundsvall AB;118680;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;003561;NORMAL;556499-9869;Café Charm AB;792,86;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;15235;NORMAL;556700-7181;Viati Konsult AB;210000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;411038;NORMAL;556596-3336;Fastighets Competens i Norrland AB;2538,54;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;2805;NORMAL;559071-0538;Kvadrat Sundsvall AB;154254;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;419;NORMAL;559054-3152;Edge Associates AB;146648;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1518;NORMAL;559244-3484;Visionite Sundsvall AB;111600;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;3824;NORMAL;556953-3978;Masarin Consulting Group AB;113208;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1505;NORMAL;559244-3484;Visionite Sundsvall AB;77264;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1503;NORMAL;559244-3484;Visionite Sundsvall AB;96050;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1498;NORMAL;559244-3484;Visionite Sundsvall AB;92190;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;8320;NORMAL;556589-4614;Trippus Event Solutions AB;95;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;429;NORMAL;559054-3152;Edge Associates AB;129168;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;91117;NORMAL;556648-5677;Swedish Connection AB;127746;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;6386;NORMAL;556782-2571;Baringo Reklam & Kommunikation AB;166700;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;6387;NORMAL;556782-2571;Baringo Reklam & Kommunikation AB;53310;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;1292;NORMAL;556414-2197;Ciceronen Telekom AB/Fortnox Finans AB;19200;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;569012;NORMAL;556563-1404;Arkaden Konsult AB;300;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-01;54413504;NORMAL;202100-5521;Försäkringskassan;103894;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;PJ6000056839;NORMAL;556866-4444;ÅF Digital Solutions AB;72500;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;2024009126;NORMAL;556222-1068;A Society AB;100000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1319079;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;10184;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1527;NORMAL;559244-3484;Visionite Sundsvall AB;88400;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1522;NORMAL;559244-3484;Visionite Sundsvall AB;86742;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;119989;NORMAL;556726-4758;Chas visual management AB;112651;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;119988;NORMAL;556726-4758;Chas visual management AB;83378;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;119987;NORMAL;556726-4758;Chas visual management AB;115192;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;742703536;NORMAL;556786-3542;Governo AB;132960;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;742703530;NORMAL;556786-3542;Governo AB;2450;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1000000571;NORMAL;556551-4147;Frontwalker Stockholm AB;113498;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1532;NORMAL;559244-3484;Visionite Sundsvall AB;46995;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;978;NORMAL;559387-8969;Ecrucial Stockholm AB;151800;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320038;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;3745;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320054;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;14432;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320037;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;1516,5;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320035;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;3963;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320036;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;1095;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320095;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;1651,25;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1320094;NORMAL;556185-6385;Feelgood Företagshälsovård AB/Ropo Capital Sweden AB;6188;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;42537251;NORMAL;556587-8708;Ework Group AB;142120;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1543;NORMAL;559244-3484;Visionite Sundsvall AB;104400;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1430;NORMAL;556472-9282;Bouvet AB;123140;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1431;NORMAL;556472-9282;Bouvet AB;93840;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;1539;NORMAL;559244-3484;Visionite Sundsvall AB;129600;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-02;300865968;NORMAL;556767-9849;SWECO Sverige AB;145950;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;13704;NORMAL;556654-0422;Digitalist Open Tech AB;5000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;13720;NORMAL;556654-0422;Digitalist Open Tech AB;5000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;13741;NORMAL;556654-0422;Digitalist Open Tech AB;24357;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;3886;NORMAL;556766-7968;Frontit Sundsvall AB;135216;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;15121338;NORMAL;202100-5448;Skatteverket;5421,4;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;1000;NORMAL;559387-8969;Ecrucial Stockholm AB;15562,5;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;320025763;NORMAL;556599-4307;Consid AB;8020;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;110483786;NORMAL;556242-1718;Randstad AB;193200;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-03;8054;NORMAL;556448-4771;SAG SIPU International AB;10000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-04;124320473;NORMAL;556091-3591;Lyreco Sverige AB;931;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-04;40105285;NORMAL;202100-6552;E-hälsomyndigheten;9814;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-04;1022;NORMAL;559387-8969;Ecrucial Stockholm AB;120750;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-04;111303938;NORMAL;556506-5819;HiQ Stockholm AB;124740;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;317093242;NORMAL;202100-0928;SPV Statens tjänstepensionsverk;9436;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;22519;NORMAL;556641-0576;Redpill Linpro AB;165749;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;22523;NORMAL;556641-0576;Redpill Linpro AB;52800;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20174;NORMAL;559161-7864;IDsec Solutions AB;238138;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20175;NORMAL;559161-7864;IDsec Solutions AB;230680;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20176;NORMAL;559161-7864;IDsec Solutions AB;112710;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20177;NORMAL;559161-7864;IDsec Solutions AB;120000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20178;NORMAL;559161-7864;IDsec Solutions AB;163750;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-05;20179;NORMAL;559161-7864;IDsec Solutions AB;180000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-06;4015010042558;NORMAL;556855-1104;Experis AB;226250;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-06;4015010042409;NORMAL;556855-1104;Experis AB;125280;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-06;4015010042319;CREDIT;556855-1104;Experis AB;-20880;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-06;4015010042388;NORMAL;556855-1104;Experis AB;122667;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-06;4000110074813;NORMAL;556348-1588;Manpower AB;38080;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;24141;NORMAL;556598-6436;4C Strategies AB;1495;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;75598;NORMAL;559002-8899;Emagine Consulting AB;128160;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;75599;NORMAL;559002-8899;Emagine Consulting AB;114800;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;21130;NORMAL;556850-0663;Screen9 AB;12975,38;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;300014818;NORMAL;516401-9811;Danske Bank AS Danmark Sverige Filial;716,6;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;1237655;NORMAL;556483-4371;Avoki Solutions AB;2750;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-08;124343065;NORMAL;556091-3591;Lyreco Sverige AB;18000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;5022326;NORMAL;202100-5448;Skatteverket;6231226,93;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;394638;NORMAL;556218-6790;Combitech AB;127816;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;394637;NORMAL;556218-6790;Combitech AB;256396,5;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;2841;NORMAL;559071-0538;Kvadrat Sundsvall AB;92775;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;3534;NORMAL;556688-7419;Kirei AB;7320;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-09;3485;NORMAL;556878-5934;Luxlucid AB;10800;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-11;97410003;NORMAL;202100-5521;Försäkringskassan;1607,04;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-11;3109240;NORMAL;202100-5208;Vetenskapsrådet;556087;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-11;75900;NORMAL;556533-8133;Antirio AB;15000;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-12;805723628022;NORMAL;556711-5695;PostNord Sverige AB;227,6;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-12;42541403;NORMAL;556587-8708;Ework Group AB;2378;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-16;110958333;NORMAL;556768-7248;Synsam Group Sweden AB;332;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-16;313011534;NORMAL;202100-0928;SPV Statens tjänstepensionsverk;30264;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-16;31122437;NORMAL;202100-0829;Kammarkollegiet;11050;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-16;23704;NORMAL;556363-5043;Riviera Blommor i Sundsvall AB;400;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-18;805729207425;NORMAL;556711-5695;PostNord Sverige AB;142,4;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-19;TS 2407 DIGG;NORMAL;802015-0721;Trygghetsstiftelsen;24838;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-22;317093497;NORMAL;202100-0928;SPV Statens tjänstepensionsverk (Autogiro);568207;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-23;317093790;NORMAL;202100-0928;SPV Statens tjänstepensionsverk;2057159;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-26;3136017827;NORMAL;556180-2959;Coor Norrland Lokalvård AB;14825;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;902890524926;NORMAL;556711-5695;PostNord Sverige AB;197;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;902891014224;NORMAL;556711-5695;PostNord Sverige AB;2095;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;40105305;NORMAL;202100-6552;E-hälsomyndigheten;84234;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;40105304;NORMAL;202100-6552;E-hälsomyndigheten;23241;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;760025023;NORMAL;202100-6453;Statens servicecenter;96773;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-30;2844;NORMAL;559071-0538;Kvadrat Sundsvall AB;117058;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;749665626;NORMAL;556574-6624;SEB Kort Bank AB Eurocard Sweden;5650,05;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;749392148;NORMAL;556574-6624;SEB Kort Bank AB Eurocard Sweden;3748,75;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;111039951;NORMAL;556768-7248;Synsam Group Sweden AB;349;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;91145;NORMAL;556648-5677;Swedish Connection AB;35532;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;55715;NORMAL;556600-9089;Entergate AB;80400;SEK;202100-6884;Myndigheten för digital förvaltning
2024-07-31;55710;NORMAL;556600-9089;Entergate AB;3600;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085363;NORMAL;556574-6624;SEB Kort Bank AB;174,53;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085368;NORMAL;556574-6624;SEB Kort Bank AB;683,96;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085349;NORMAL;556574-6624;SEB Kort Bank AB;21;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085366;NORMAL;556574-6624;SEB Kort Bank AB;3243,47;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085369;NORMAL;556574-6624;SEB Kort Bank AB;147,17;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085346;CREDIT;556574-6624;SEB Kort Bank AB;-4247,6;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085345;NORMAL;556574-6624;SEB Kort Bank AB;158,49;SEK;202100-6884;Myndigheten för digital förvaltning
2024-08-01;1085371;NORMAL;556574-6624;SEB Kort Bank AB;502,44;SEK;202100-6884;Myndigheten för digital förvaltning
